cand_name,cand_party,cand_cons,vote_share,total_reported_spending,electorate_figure,spending_limit,spending_limit_percent,direct_spending,national_spending,unpaid_claims,disputed_claims,advertising,unsolicited_material,transport,public_meeting,agent_staff,accomodation,personal_expenses,donations_accepted
Debbie Soloman,Brexit Party,Bassetlaw,10.55,"11,039.49","78,264","15,743.76",70.12,"10,904.49",135.00,0.00,0.00,"1,427.49","9,107.00",0.00,405.00,0.00,100.00,659.84,"10,058.00"
Wera Hobhouse,Liberal Democrats,Bath,54.51,"7,413.06","61,762","12,405.72",59.76,"6,757.96",655.10,0.00,0.00,709.96,"4,930.03",0.00,0.00,"1,205.94",567.13,0.00,"29,500.00"
Mike Davies,Independent and Other,Leeds West,0.08,680.15,"64,471","12,568.26",5.41,680.15,0.00,0.00,0.00,0.00,664.07,16.08,0.00,0.00,0.00,0.00,680.15
Jimi Ogunnusi,Brexit Party,Bath,1.23,"2,747.28","61,762","12,405.72",22.15,"2,747.28",0.00,0.00,0.00,297.28,"2,450.00",0.00,0.00,0.00,0.00,0.00,0.00
John Lawson,Liberal Democrats,Batley and Spen,4.65,"3,261.00","79,558","13,473.48",24.2,"3,261.00",0.00,0.00,0.00,9.00,"3,252.00",0.00,0.00,0.00,0.00,0.00,0.00
Tracy Brabin,Labour Party,Batley and Spen,42.69,"11,411.82","79,558","13,473.48",84.7,0.00,"11,411.82",0.00,0.00,"2,190.15","7,833.04",0.00,0.00,390.00,998.63,0.00,0.00
Mark Brooks,Conservative and Unionist Party,Batley and Spen,36.03,"3,317.93","79,558","13,473.48",24.63,0.00,"3,317.93",0.00,0.00,"1,235.43","1,825.00",0.00,0.00,212.34,45.16,0.00,"3,317.93"
Paul Halloran,Independent and Other,Batley and Spen,12.15,"6,997.85","79,558","13,473.48",51.94,"6,597.85",400.00,0.00,0.00,741.85,"5,856.00",0.00,0.00,0.00,0.00,430.15,0.00
Ty Akram,Green Party,Batley and Spen,1.31,0.00,"79,558","13,473.48",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kim Caddy,Conservative and Unionist Party,Battersea,36.05,"11,871.76","71,698","13,001.88",91.31,0.00,"11,871.76",0.00,0.00,"2,141.60","7,029.80",0.00,0.00,"2,005.44",694.92,0.00,"11,871.76"
Kim Caddy,Conservative and Unionist Party,Battersea,36.05,"11,871.76","71,698","13,001.88",91.31,0.00,"11,871.76",0.00,0.00,"2,141.60","7,029.80",0.00,0.00,"2,005.44",694.92,0.00,"11,871.76"
Lois Davis,Green Party,Battersea,2.55,84.00,"71,678","13,001.88",0.65,84.00,0.00,0.00,0.00,0.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00
Mark Gitsham,Liberal Democrats,Battersea,15.26,"9,266.00","71,698","13,001.88",71.27,"8,873.56",392.44,0.00,0.00,409.20,"5,265.24",0.00,0.00,678.99,"2,912.57",0.00,"16,712.96"
Jake Thomas,Brexit Party,Battersea,0.64,"7,431.34","71,678","13,001.88",57.16,247.14,"7,184.20",0.00,0.00,566.20,"6,843.94",0.00,0.00,0.00,21.20,0.00,"7,184.20"
Dominic Grieve,Independent and Other,Beaconsfield,28.97,"15,465.29","76,340","15,570.60",99.32,"14,834.57",630.72,0.00,0.00,437.79,"8,959.38",87.73,455.34,"3,325.63","2,199.42",651.00,"28,745.72"
Joy Morrissey,Conservative and Unionist Party,Beaconsfield,56.12,"13,979.91","79,019","15,570.60",89.78,"10,159.91","3,820.00",0.00,0.00,843.71,"7,389.76",216.30,454.46,"3,930.00","1,145.68",195.00,"10,159.91"
Alexa Collins,Labour Party,Beaconsfield,9.95,"1,858.94","76,340","15,570.60",11.94,"1,858.94",0.00,0.00,0.00,145.95,"1,632.99",0.00,80.00,0.00,0.00,22.50,120.00
Zoe Hatch,Green Party,Beaconsfield,3.51,806.28,"77,720","15,694.80",5.14,806.28,0.00,0.00,0.00,0.00,806.28,0.00,0.00,0.00,0.00,0.00,0.00
Adam Cleary,Independent and Other,Beaconsfield,1.45,"7,723.53","77,720","15,570.60",49.6,"7,723.53",0.00,0.00,0.00,"5,286.37",35.97,727.92,6.60,"1,666.67",0.00,88.07,0.00
Bob Stewart,Conservative and Unionist Party,Beckenham,53.96,"6,399.54","67,223","12,733.38",50.26,"4,710.10","1,689.44",0.00,0.00,108.00,"4,497.10",0.00,0.00,"1,459.44",335.00,75.00,"6,399.54"
Ruth Fabricant,Green Party,Beckenham,4.06,318.65,NaN,"12,820.26",2.49,318.65,0.00,0.00,0.00,0.00,318.65,0.00,0.00,0.00,0.00,0.00,166.66
Chloe-Jane Ross,Liberal Democrats,Beckenham,16.21,"4,569.92","67,610","12,756.60",35.82,"4,569.92",0.00,0.00,0.00,462.92,"4,096.01",0.00,0.00,0.00,10.99,45.00,"5,000.00"
Henry Vann,Liberal Democrats,Bedford,9.74,"9,319.66","71,581","12,994.86",71.72,"5,609.17","3,710.49",0.00,0.00,269.91,"8,676.56",0.00,0.00,0.00,373.19,0.00,"9,319.66"
Mohammad Yasin,Labour Party,Bedford,43.32,"11,718.72","71,581","12,994.86",90.18,0.00,"11,718.72",0.00,0.00,723.05,"6,026.00",355.00,0.00,"1,885.44","2,729.23",0.00,"11,718.72"
Adrian Spurrell,Green Party,Bedford,2.03,75.00,"71,581","12,994.86",0.58,75.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan Henson,Conservative and Unionist Party,Bedford,43.01,"12,021.17",NaN,NaN,NaN,"5,104.91","6,916.26",0.00,0.00,"1,162.52","7,630.39",200.00,21.91,"2,521.19",485.16,0.00,"12,400.00"
Charles Bunker,Brexit Party,Bedford,1.89,"3,933.87","71,681","12,994.86",30.27,"3,293.07",0.00,0.00,640.80,"1,446.37","2,450.00",0.00,0.00,0.00,37.50,457.98,"3,896.37"
Naomi Long,Independent and Other,Belfast East,44.89,"6,531.25","66,245","12,572.82",51.95,0.00,"6,531.25",0.00,0.00,"2,849.74","3,562.91",0.00,0.00,0.00,118.60,0.00,"6,531.25"
Gavin Robinson,Democratic Unionist Party,Belfast East,49.18,"11,629.21","64,547","12,572.82",92.49,"11,579.21",50.00,0.00,0.00,"1,032.00","10,547.21",50.00,0.00,0.00,0.00,0.00,"11,579.21"
Carl McClean,Independent and Other,Belfast East,5.93,"1,761.50","64,547","12,572.82",14.01,"1,761.50",0.00,0.00,0.00,402.50,"1,359.00",0.00,0.00,0.00,0.00,0.00,0.00
Nigel Dodds,Democratic Unionist Party,Belfast North,43.1,"12,300.20","69,470","12,868.20",95.59,"12,050.20",250.00,0.00,0.00,"2,414.56","9,885.64",0.00,0.00,0.00,0.00,0.00,"5,405.25"
Nuala McAllister,Independent and Other,Belfast North,9.84,"2,144.54","72,225","12,868.20",16.67,0.00,"2,144.54",0.00,0.00,304.06,"1,790.48",0.00,0.00,0.00,50.00,0.00,"2,144.54"
John Finucane,Sinn Fein,Belfast North,47.06,"12,185.95","69,470","12,868.20",94.7,0.00,"12,185.95",0.00,0.00,"8,255.95","3,930.00",0.00,0.00,0.00,0.00,0.00,"12,185.95"
Claire Hanna,Independent and Other,Belfast South,57.19,"12,005.67","67,214","12,732.84",94.29,"12,005.67",0.00,0.00,0.00,"5,415.97","3,325.00",0.00,464.70,"2,800.00",0.00,0.00,"12,005.67"
Michael Henderson,Independent and Other,Belfast South,2.66,"2,845.00","67,214","12,732.84",22.34,"2,845.00",0.00,0.00,0.00,"1,225.00","1,620.00",0.00,0.00,0.00,0.00,0.00,"2,000.00"
Chris McHugh,Independent and Other,Belfast South,1.16,"5,034.22","67,214","12,732.84",39.54,"5,034.22",0.00,0.00,0.00,"1,973.73","2,971.00",89.49,0.00,0.00,0.00,0.00,"5,034.22"
Paul Maskey,Sinn Fein,Belfast West,53.8,"7,044.28","64,292","12,557.52",56.1,0.00,"7,044.28",0.00,0.00,"3,194.28","3,850.00",0.00,0.00,0.00,0.00,0.00,"7,044.28"
Frank McCoubrey,Democratic Unionist Party,Belfast West,13.46,706.00,"64,292","12,757.52",5.53,456.00,250.00,0.00,0.00,250.00,456.00,0.00,0.00,0.00,0.00,0.00,250.00
Gerry Carroll,Independent and Other,Belfast West,15.97,"7,598.04","64,292","12,557.52",60.51,"7,598.04",0.00,0.00,0.00,"5,342.84","2,255.20",0.00,0.00,0.00,0.00,0.00,"7,365.80"
Monica Digney,Independent and Other,Belfast West,4.22,"3,717.40","64,292","12,557.52",29.6,"3,717.40",0.00,0.00,0.00,"1,937.91","1,690.00",89.49,0.00,0.00,0.00,0.00,"3,717.40"
Donnamarie Higgins,Independent and Other,Belfast West,4.85,945.19,"65,644","12,557.52",7.53,0.00,945.19,0.00,0.00,10.06,885.13,0.00,0.00,0.00,50.00,0.00,945.19
Paul Doherty,Independent and Other,Belfast West,7.7,"1,677.80","64,492","14,504.28",11.57,"1,677.80",0.00,0.00,0.00,621.00,874.80,182.00,0.00,0.00,0.00,0.00,"1,677.80"
Neil Coyle,Labour Party,Bermondsey and Old Southwark,54.12,"11,349.97","92,734","14,264.04",79.57,0.00,"11,349.97",0.00,0.00,583.00,"6,983.97",0.00,0.00,"2,400.00","1,383.00",0.00,"11,349.97"
Humaira Ali,Liberal Democrats,Bermondsey and Old Southwark,26.61,"13,533.18","93,248","14,294.88",94.67,"13,533.18",0.00,0.00,0.00,60.00,"9,475.25",0.00,0.00,"2,131.61","1,866.32",0.00,"17,886.14"
Humaira Ali,Liberal Democrats,Bermondsey and Old Southwark,26.61,"13,533.18","93,248","14,294.88",94.67,"13,533.18",0.00,0.00,0.00,60.00,"9,475.25",0.00,0.00,"2,131.61","1,866.32",0.00,"17,886.14"
Anne-Marie Trevelyan,Conservative and Unionist Party,Berwick-Upon-Tweed,56.87,"12,116.70","58,867","13,998.03",86.56,"7,750.82","4,365.88",0.00,0.00,454.34,"4,511.18",0.00,5.22,"1,233.95","5,912.01",70.00,"19,790.49"
Thomas Stewart,Green Party,Berwick-Upon-Tweed,3.31,738.00,"59,939","14,094.51",5.24,738.00,0.00,0.00,0.00,0.00,678.00,0.00,60.00,0.00,0.00,0.00,441.00
Trish Williams,Labour Party,Berwick-Upon-Tweed,21.64,"5,660.28","59,823","14,084.07",40.19,0.00,"5,660.28",0.00,0.00,"1,555.98","3,307.60",0.00,439.44,0.00,357.26,0.00,"5,660.28"
John Lamont,Conservative and Unionist Party,"Berwickshire, Roxburgh and Selkirk",48.45,"14,141.49","74,518","15,406.62",91.79,0.00,"14,141.49",0.00,0.00,"2,668.74","8,365.17",0.00,0.00,908.66,"2,198.92",210.00,"14,141.49"
Ian Davidson,Labour Party,"Berwickshire, Roxburgh and Selkirk",4.73,"1,788.44","74,518","15,406.62",11.61,83.44,"1,705.00",0.00,0.00,0.00,"1,705.00",83.44,0.00,0.00,0.00,532.63,"1,705.00"
Calum Kerr,Scottish National Party,"Berwickshire, Roxburgh and Selkirk",38.76,"13,824.32","74,518","15,406.62",89.73,"13,842.32",0.00,0.00,0.00,"3,247.99","8,948.00",0.00,77.00,0.00,"1,551.33",300.00,"13,170.00"
Jenny Marr,Liberal Democrats,"Berwickshire, Roxburgh and Selkirk",8.07,"3,881.53","74,518","15,406.62",25.19,"3,881.53",0.00,0.00,0.00,810.99,"2,599.54",0.00,0.00,0.00,471.00,0.00,"6,725.18"
Rushanara Ali,Labour Party,Bethnal Green and Bow,72.74,"8,627.89","80,269","13,516.14",63.83,0.00,"8,627.89",0.00,0.00,416.07,"6,671.04",558.17,0.00,0.00,982.61,0.00,"8,627.85"
Vanessa Hudson,Independent and Other,Bethnal Green and Bow,0.72,"1,093.28","88,262","13,995.72",7.81,0.00,"1,093.28",0.00,0.00,0.00,"1,093.28",0.00,0.00,0.00,0.00,7.86,"1,093.28"
Nicholas Stovold,Conservative and Unionist Party,Bethnal Green and Bow,10.78,"2,039.66","80,269","13,516.14",15.09,"1,957.10",82.56,0.00,0.00,30.00,"1,836.90",0.00,0.00,82.56,90.20,0.00,"2,039.66"
Josh Babarinde,Liberal Democrats,Bethnal Green and Bow,9.73,"2,777.60","80,269","13,516.14",20.55,"2,777.60",0.00,0.00,0.00,19.00,"2,708.60",0.00,50.00,0.00,0.00,136.05,"2,777.60"
David Axe,Brexit Party,Bethnal Green and Bow,1.78,"3,855.49","80,269","13,516.14",28.53,"2,715.49",0.00,"1,140.00",0.00,"1,246.50","2,608.99",0.00,0.00,0.00,0.00,30.60,0.00
Denis Healy,Liberal Democrats,Beverley and Holderness,8.72,"2,478.33","78,847","15,796.23",15.69,"2,478.33",0.00,0.00,0.00,150.47,"2,328.33",0.00,0.00,0.00,0.00,0.00,0.00
Graham Stuart,Conservative and Unionist Party,Beverley and Holderness,62.1,"10,852.19","78,847","15,796.23",68.7,"7,734.95","3,117.24",0.00,0.00,"1,440.85","5,531.39","1,752.22",500.00,780.38,847.35,0.00,"29,464.00"
Isabel Pires,Green Party,Beverley and Holderness,2.57,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andy Shead,Independent and Other,Beverley and Holderness,2.69,583.92,"78,847","15,796.23",3.7,583.92,0.00,0.00,0.00,53.10,530.82,0.00,0.00,0.00,0.00,0.00,110.00
Chloe Hopkins,Labour Party,Beverley and Holderness,23.91,"4,506.72","79,291","15,749.00",28.62,"4,406.72",100.00,0.00,0.00,76.00,"4,343.00",0.00,0.00,163.72,0.00,0.00,0.00
Huw Merriman,Conservative and Unionist Party,Bexhill and Battle,63.61,"7,977.78","80,680","15,961.20",49.98,"5,858.75","2,119.03",0.00,0.00,"1,459.75","4,616.75",0.00,0.00,"1,185.14",716.14,0.00,"7,977.78"
Jonathan Kent,Green Party,Bexhill and Battle,4.56,"1,343.00","80,680","15,961.20",8.41,"1,343.00",0.00,0.00,0.00,0.00,"1,343.00",0.00,0.00,0.00,0.00,NaN,549.08
Christine Bayliss,Labour Party,Bexhill and Battle,19.51,"2,521.90","80,680","15,961.20",15.8,"2,521.90",0.00,0.00,0.00,"2,121.90",0.00,0.00,0.00,400.00,0.00,0.00,837.33
Martin Saunders,Liberal Democrats,Bexhill and Battle,12.32,"3,725.35","80,680","15,961.20",23.34,"3,674.35",51.00,0.00,0.00,689.15,"2,900.00",0.00,0.00,136.20,0.00,0.00,"5,700.00"
David Evennett,Conservative and Unionist Party,Bexleyheath and Crayford,59.79,"6,822.88","64,754","12,585.24",54.21,"4,340.40","2,482.48",0.00,0.00,3.50,"4,353.90",0.00,0.00,"1,609.48",856.00,0.00,0.00
Anna Day,Labour Party,Bexleyheath and Crayford,29.49,"3,167.32","64,754","12,585.00",25.17,"3,167.32",0.00,0.00,0.00,763.15,"1,904.17",0.00,0.00,0.00,500.00,0.00,0.00
David McBride,Liberal Democrats,Bexleyheath and Crayford,6.52,389.66,"64,754","12,624.12",3.09,389.66,0.00,0.00,0.00,0.00,389.66,0.00,0.00,0.00,0.00,0.00,0.00
Frank Field,Independent and Other,Birkenhead,17.21,"9,853.75","63,136","12,488.16",78.9,"9,853.75",0.00,0.00,0.00,0.00,"8,961.20",129.25,0.00,500.00,263.30,"9,853.75",0.00
Stuart Kelly,Liberal Democrats,Birkenhead,3.83,"1,124.77","63,762","12,526.00",8.98,"1,124.77",0.00,0.00,0.00,0.00,"1,099.77",0.00,25.00,0.00,0.00,0.00,"1,124.77"
Pat Cleary,Green Party,Birkenhead,3.32,"1,585.00","63,136","12,488.16",12.69,0.00,"1,585.00",0.00,0.00,0.00,"1,585.00",0.00,0.00,0.00,0.00,0.00,"1,585.00"
Claire Rowles,Conservative and Unionist Party,Birkenhead,13.09,328.46,"63,136","12,488.16",2.63,0.00,328.46,0.00,0.00,0.00,0.00,0.00,0.00,328.46,0.00,0.00,328.46
Mick Whitley,Labour Party,Birkenhead,59.04,"7,599.03","63,136","12,488.16",60.85,20.00,"7,579.03",0.00,0.00,827.67,"3,876.68",0.00,0.00,"1,572.56","1,322.12",0.00,"7,579.03"
Phil Simpson,Green Party,"Birmingham, Edgbaston",2.63,0.00,"63,655","12,519.30",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Colin Green,Liberal Democrats,"Birmingham, Edgbaston",7.91,"8,867.48","63,655","12,519.30",70.83,"8,867.48",0.00,0.00,0.00,32.25,"8,835.23",0.00,0.00,0.00,0.00,15.00,"9,686.52"
Alex Yip,Conservative and Unionist Party,"Birmingham, Edgbaston",36.86,"9,477.35","63,655","12,519.30",75.7,0.00,"9,477.35",0.00,0.00,575.91,"7,216.54",0.00,0.00,932.65,752.25,0.00,"9,477.35"
David Wilks,Brexit Party,"Birmingham, Edgbaston",2.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ann Holtom,Liberal Democrats,"Birmingham, Erdington",3.69,612.40,"64,575","12,574.50",4.87,612.40,0.00,0.00,0.00,0.00,612.40,0.00,0.00,0.00,0.00,0.00,0.00
Jack Dromey,Labour Party,"Birmingham, Erdington",50.3,"12,355.65","64,575","12,574.50",98.26,0.00,"12,355.65",0.00,0.00,503.35,"9,096.42",0.00,0.00,"1,500.00","1,255.88",0.00,"12,355.65"
Wendy Garcarz,Brexit Party,"Birmingham, Erdington",4.09,"7,586.60","66,000","12,660.00",59.93,0.00,"7,586.60",0.00,0.00,"2,160.60","5,030.00",0.00,396.00,0.00,0.00,360.00,"7,586.60"
Roger Godsiff,Independent and Other,"Birmingham, Hall Green",8.08,"4,332.95","78,017","13,381.02",32.38,"4,132.95",200.00,0.00,0.00,170.00,"4,137.95",25.00,0.00,0.00,0.00,0.00,0.00
Patrick Cox,Green Party,"Birmingham, Hall Green",1.55,0.00,"78,017","13,381.02",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tahir Ali,Labour Party,"Birmingham, Hall Green",67.83,"12,756.19","78,017","13,381.02",95.33,0.00,"12,756.19",0.00,0.00,"2,001.00","7,077.84",0.00,537.85,"1,250.80","1,888.70",0.00,"12,756.19"
Izzy Knowles,Liberal Democrats,"Birmingham, Hall Green",6.94,"4,654.33","78,017","13,381.02",34.78,"4,654.33",0.00,0.00,0.00,825.04,"2,846.07",13.50,0.00,542.00,427.72,0.00,"4,772.00"
Rosie Cuckston,Brexit Party,"Birmingham, Hall Green",1.66,"4,905.60","78,017","13,381.02",36.66,"4,905.60",0.00,0.00,0.00,"2,455.60","2,450.00",0.00,0.00,0.00,0.00,46.13,0.00
Liam Byrne,Labour Party,"Birmingham, Hodge Hill",78.65,"5,352.02","76,768","13,306.08",40.22,"5,325.52",26.50,0.00,0.00,62.52,"4,965.07",0.00,0.00,0.00,324.43,0.00,"5,456.50"
Akaal Sidhu,Conservative and Unionist Party,"Birmingham, Hodge Hill",14.98,"2,036.12","76,768","13,306.08",15.3,0.00,"2,036.12",0.00,0.00,0.00,"1,410.00",0.00,0.00,484.65,141.47,0.00,"2,036.12"
Jill Dagnan,Brexit Party,"Birmingham, Hodge Hill",3.38,"8,911.50","76,768","13,306.08",66.97,0.00,"8,911.50",560.00,0.00,"2,161.50","4,580.00",550.00,0.00,0.00,"1,620.00","1,100.00",0.00
Hilda Johani,Independent and Other,"Birmingham, Hodge Hill",0.57,144.00,NaN,NaN,NaN,114.00,30.00,0.00,0.00,0.00,114.00,30.00,0.00,0.00,0.00,0.00,114.00
Waheed Rafiq,Liberal Democrats,"Birmingham, Hodge Hill",1.69,0.00,"76,768","13,306.08",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Shabana Mahmood,Labour Party,"Birmingham, Ladywood",79.19,"4,969.01","68,581","12,814.86",38.78,"3,265.51","1,703.50",0.00,0.00,105.50,"4,224.50",8.00,0.00,250.00,381.01,0.00,"6,283.00"
Lee Dargue,Liberal Democrats,"Birmingham, Ladywood",5.29,915.55,"74,912","13,194.72",6.94,915.55,0.00,0.00,0.00,339.15,612.40,0.00,0.00,0.00,0.00,0.00,"1,432.40"
Andrew Garcarz,Brexit Party,"Birmingham, Ladywood",1.97,"5,475.60","68,581","12,814.00",42.73,0.00,"5,475.60",0.00,0.00,"3,025.60","2,450.00",0.00,0.00,0.00,0.00,0.00,"5,475.00"
Mary Noone,Conservative and Unionist Party,"Birmingham, Ladywood",11.33,"2,116.12","68,581","12,814.86",16.51,0.00,"2,116.12",0.00,0.00,0.00,"1,490.00",0.00,0.00,484.65,141.47,0.00,"2,116.12"
Richard Burden,Labour Party,"Birmingham, Northfield",42.5,"12,011.90","71,972","13,016.52",92.28,0.00,"12,011.90",0.00,0.00,474.40,"7,707.85",436.60,0.00,"2,574.00",819.05,0.00,"12,011.90"
Keith Rowe,Brexit Party,"Birmingham, Northfield",3.84,"5,679.60","71,942","13,016.52",43.63,0.00,"5,679.60",0.00,0.00,"2,185.60","3,494.00",0.00,0.00,0.00,0.00,0.00,"5,679.60"
Gary Sambrook,Conservative and Unionist Party,"Birmingham, Northfield",46.31,"11,555.82","71,942","13,016.52",88.78,0.00,"11,555.82",0.00,0.00,"1,092.03","6,579.15",0.00,0.00,"2,240.14","1,644.50",0.00,"11,555.82"
Eleanor Masters,Green Party,"Birmingham, Northfield",2.21,0.00,"71,942","13,016.52",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jamie Scott,Liberal Democrats,"Birmingham, Northfield",4.55,0.00,"73,694","13,121.64",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Khalid Mahmood,Labour Party,"Birmingham, Perry Barr",63.1,"7,056.00","70,059","12,903.54",54.68,0.00,"7,056.00",0.00,0.00,560.00,"3,586.00",0.00,0.00,"2,160.00",750.00,0.00,"7,056.00"
Kefentse Dennis,Green Party,"Birmingham, Perry Barr",2,0.00,"70,059","12,903.54",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Thomas Braich,Independent and Other,"Birmingham, Perry Barr",0.35,0.00,"70,059","12,903.54",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raaj Shamji,Conservative and Unionist Party,"Birmingham, Perry Barr",26.76,"1,495.00","72,006","8,700.00",17.18,"1,495.00",0.00,0.00,0.00,40.00,"1,455.00",0.00,0.00,0.00,0.00,0.00,605.64
Hannah Campbell,Conservative and Unionist Party,"Birmingham, Selly Oak",30.93,"3,847.29","75,144","13,208.64",29.13,0.00,"3,847.29",0.00,0.00,123.12,"2,119.27",0.00,0.00,777.15,827.75,0.00,"3,847.29"
Joe Peacock,Green Party,"Birmingham, Selly Oak",3.74,311.91,"75,144","13,208.64",2.36,311.91,0.00,0.00,0.00,0.00,311.91,0.00,0.00,0.00,0.00,0.00,311.91
Joseph Tawonezvi,Brexit Party,"Birmingham, Selly Oak",2.9,"4,605.60",1,"13,208.64",34.87,"4,605.60",0.00,0.00,0.00,"4,605.60",0.00,0.00,0.00,0.00,0.00,200.00,0.00
Roger Harmer,Liberal Democrats,"Birmingham, Yardley",8.8,"5,017.17","72,942","13,076.52",38.37,"3,667.17","1,350.00",0.00,0.00,175.00,"3,642.17",0.00,0.00,"1,000.00",200.00,0.00,"6,825.00"
Jess Phillips,Labour Party,"Birmingham, Yardley",54.78,"9,459.76","72,942","13,076.52",72.34,"9,319.22",140.54,0.00,0.00,770.68,"6,475.68",0.00,0.00,0.00,"2,213.40",0.00,"31,409.80"
Christopher Garghan,Green Party,"Birmingham, Yardley",1.36,0.00,"72,942","13,076.52",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jess Phillips,Labour Party,"Birmingham, Yardley",54.78,"9,459.76","72,942","13,076.52",72.34,"9,319.22",140.54,0.00,0.00,770.68,"6,475.68",0.00,0.00,0.00,"2,213.40",0.00,"31,409.80"
Helen Goodman,Labour Party,Bishop Auckland,35.94,"13,888.29","66,755","14,707.95",94.43,0.00,"13,888.29",0.00,0.00,"3,390.85","7,199.71",0.00,119.93,"1,892.87","1,284.93",238.81,"13,888.29"
Dehenna Davison,Conservative and Unionist Party,Bishop Auckland,53.71,"13,917.28","66,755","14,707.95",94.62,"6,511.51","7,405.77",0.00,0.00,"1,376.21","8,783.50",316.85,223.95,"2,347.16",869.61,0.00,"24,249.00"
Ray Georgeson,Liberal Democrats,Bishop Auckland,4.76,445.00,"66,755","14,707.95",3.03,445.00,0.00,0.00,0.00,0.00,445.00,0.00,0.00,0.00,0.00,0.00,445.00
Kate Hollern,Labour Party,Blackburn,64.91,"6,289.67","71,234","12,979.44",48.46,"5,522.42",767.25,0.00,0.00,"1,199.98","3,906.00",0.00,0.00,416.44,0.00,0.00,"1,150.00"
Reza Hossain,Green Party,Blackburn,1.66,"1,615.00","71,229","12,923.74",12.5,"1,615.00",0.00,0.00,0.00,0.00,"1,615.00",0.00,0.00,0.00,0.00,0.00,925.00
Beth Waller-Slack,Liberal Democrats,Blackburn,2.53,0.00,"71,234","12,974.00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Claire Gill,Conservative and Unionist Party,Blackburn,24,"2,884.76","71,234","12,974.04",22.23,"2,636.45",248.31,0.00,0.00,987.17,935.29,0.00,0.00,350.00,612.30,0.00,"2,222.16"
Rick Moore,Brexit Party,Blackburn,6.19,"3,257.05","71,229","12,973.00",25.11,"3,257.05",0.00,0.00,0.00,363.05,"2,894.00",0.00,0.00,0.00,0.00,0.00,0.00
Graham Stringer,Labour Party,Blackley and Broughton,61.85,"6,530.82","70,491","12,929.46",50.51,0.00,"6,530.82",0.00,0.00,0.00,"4,839.00",0.00,0.00,0.00,"1,691.82",0.00,"6,530.82"
David Jones,Green Party,Blackley and Broughton,50.75,"9,066.79","57,714","13,894.78",65.25,"7,012.67","2,054.12",0.00,0.00,465.39,"4,992.62","2,107.28",0.00,"1,231.50",270.00,0.00,"9,066.79"
Iain Donaldson,Liberal Democrats,Blackley and Broughton,4.12,0.00,"70,491","12,930.00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
